#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,2,20,22,44%,,,,,,,,,,,69,32,37,,,4,2,33,1.65,37,1.68,1.68,7.3,6.7,0.7,,-0.08,-0.18,-0.45,-0.43,3
124,KaBlamazon,0,0,20,20,40%,,,,,,,,,,,71,15,56,,,,,56,2.8,56,2.8,2.8,9.3,-10.3,19.7,,,0.97,0.67,0.69,5
13,Surely Mental,0,15,9,24,48%,,,,,,,,,,,85,38,47,,,51,3.4,-4,-0.44,47,1.96,1.96,23.3,12.7,10.7,,1.32,-2.27,-0.17,-0.15,3
18,Stitches,0,0,25,25,50%,,,,,,,,,,,109,28,81,,,,,81,3.24,81,3.24,3.24,47.3,2.7,44.7,,,1.41,1.11,1.13,3
220,Electra Cal,0,23,8,31,62%,,,,,,,,,,,126,47,79,,,44,1.91,35,4.38,79,2.55,2.55,64.3,21.7,42.7,,-0.17,2.55,0.42,0.44,5
31,Poptart,9,10,1,20,40%,20,2.22,0,7,7,0,0,78%,20,2.86,57,41,16,8,0.89,10,1,-2,-2,8,0.73,0.8,-4.7,15.7,-20.3,-0.91,-1.08,-3.83,-1.41,-1.31,7
329,Elita One,0,0,28,28,56%,,,,,,,,,,,120,42,78,,,,,78,2.79,78,2.79,2.79,58.3,16.7,41.7,,,0.96,0.65,0.68,0
42,Virginia Slam,0,0,14,14,28%,,,,,,,,,,,30,33,-3,,,,,-3,-0.21,-3,-0.21,-0.21,-31.7,7.7,-39.3,,,-2.04,-2.35,-2.32,3
43,Rose…,13,0,0,13,26%,79,6.08,0,11,11,0,0,85%,74,6.73,79,9,70,70,5.38,,,,,,,5.38,17.3,-16.3,33.7,3.59,,,,3.28,0
53,Punch Bug,13,0,0,13,26%,35,2.69,1,6,6,1,0,46%,28,4.67,35,27,8,8,0.62,,,,,,,0.62,-26.7,1.7,-28.3,-1.18,,,,-1.49,2
64,A-Bomb,0,0,8,8,16%,,,,,,,,,,,32,16,16,,,,,16,2,16,2,2,-29.7,-9.3,-20.3,,,0.17,-0.13,-0.11,1
671,Ruff Edges,5,0,0,5,10%,10,2,0,2,1,0,0,40%,6,3,10,12,-2,-2,-0.4,,,,,,,-0.4,-51.7,-13.3,-38.3,-2.2,,,,-2.51,0
7,AKA Rogue,10,0,0,10,20%,41,4.1,2,9,8,0,0,90%,28,3.11,41,16,25,25,2.5,,,,,,,2.5,-20.7,-9.3,-11.3,0.7,,,,0.39,2
777,SMASH,0,0,2,2,4%,,,,,,,,,,,12,4,8,,,,,8,4,8,4,4,-49.7,-21.3,-28.3,,,2.17,1.87,1.89,1
927,Bella No Way,0,0,15,15,30%,,,,,,,,,,,49,20,29,,,,,29,1.93,29,1.93,1.93,-12.7,-5.3,-7.3,,,0.1,-0.2,-0.18,3
