,#,Skater,Team,Game Date
0,11,Polly Pushy Pants,Alls,020219
1,13,Surely Mental,Alls,020219
2,23,Sintilly,Alls,020219
3,124,Ka-Blamazon,Alls,020219
4,31,Poptart,Alls,020219
5,42,Virginia Slam,Alls,020219
6,53,Punch Bug,Alls,020219
7,57,Hines,Alls,020219
8,64,A-Bomb,Alls,020219
9,121,Jigglewatts,Alls,020219
10,220,Electra Cal,Alls,020219
11,329,Elita One,Alls,020219
12,7,AKA Rogue,Alls,020219
13,90,Acute Angle,Alls,020219
14,911,Toxic Moxie,Alls,020219
0,121,Jigglewatts,Alls,030919
1,124,Ka-Blamazon,Alls,030919
2,13,Surely Mental,Alls,030919
3,18,Stitches,Alls,030919
4,220,Electra Cal,Alls,030919
5,23,Sintilly,Alls,030919
6,31,Poptart,Alls,030919
7,329,Elita One,Alls,030919
8,42,Virginia Slam,Alls,030919
9,43,Rosie the Riveter,Alls,030919
10,53,Punch Bug,Alls,030919
11,57,Hines,Alls,030919
12,64,A-Bomb,Alls,030919
13,7,AKA Rogue,Alls,030919
14,911,Toxic Moxie,Alls,030919
0,121,Jigglewatts,Alls,032319
1,124,Ka-Blamazon,Alls,032319
2,13,Surely Mental,Alls,032319
3,18,Stitches,Alls,032319
4,220,Electra Cal,Alls,032319
5,23,Sintilly Lace,Alls,032319
6,31,Poptart,Alls,032319
7,329,Elita One,Alls,032319
8,42,Virginia Slim,Alls,032319
9,43,Rosie the iveter,Alls,032319
10,53,Punch Bug,Alls,032319
11,57,Hines,Alls,032319
12,64,A-Bomb,Alls,032319
13,7,AKA Rogue,Alls,032319
14,911,Toxic Moxie,Alls,032319
15,927,Bella No Way,Alls,032319
0,121,Jigglewatts,Alls,040619
1,124,KaBlamazon,Alls,040619
2,13,Surely Mental,Alls,040619
3,18,Stitches,Alls,040619
4,220,Electra Cal,Alls,040619
5,23,Lacey,Alls,040619
6,31,Poptart,Alls,040619
7,329,Elita One,Alls,040619
8,42,Virginia Slam,Alls,040619
9,43,Rose,Alls,040619
10,53,Punch Bug,Alls,040619
11,64,A-Bomb,Alls,040619
12,7,AKA Rogue,Alls,040619
13,911,Toxic Moxie,Alls,040619
14,927,Bella No Way,Alls,040619
0,121,Jigglewatts,Alls,040719
1,124,KaBlamazon,Alls,040719
2,13,Surely Mental,Alls,040719
3,18,Stitches,Alls,040719
4,220,Electra Cal,Alls,040719
5,23,Lacey,Alls,040719
6,31,Poptart,Alls,040719
7,329,Elita One,Alls,040719
8,42,Virginia Slam,Alls,040719
9,43,Rose,Alls,040719
10,53,Punch Bug,Alls,040719
11,64,A-Bomb,Alls,040719
12,671,Ruff Edges,Alls,040719
13,7,AKA Rogue,Alls,040719
14,927,Bella No Way,Alls,040719
0,121,Jigglewatts,Alls,040719
1,124,KaBlamazon,Alls,040719
2,13,Surely Mental,Alls,040719
3,18,Stitches,Alls,040719
4,220,Electra Cal,Alls,040719
5,31,Poptart,Alls,040719
6,329,Elita One,Alls,040719
7,42,Virginia Slam,Alls,040719
8,43,Rose,Alls,040719
9,53,Punch Bug,Alls,040719
10,64,A-Bomb,Alls,040719
11,671,Ruff Edges,Alls,040719
12,7,AKA Rogue,Alls,040719
13,777,SMASH,Alls,040719
14,927,Bella No Way,Alls,040719
0,121,Jigglewatts,Alls,051819
1,124,Ka-Blamazon,Alls,051819
2,13,Surley Mental,Alls,051819
3,18,Stitches,Alls,051819
4,220,Electra Cal,Alls,051819
5,329,Elita One,Alls,051819
6,42,Virginia Slam,Alls,051819
7,53,Punch Bug,Alls,051819
8,57,Hines,Alls,051819
9,671,Ruff Edges,Alls,051819
10,777,Smash,Alls,051819
11,7,AKA Rogue,Alls,051819
12,911,Toxic Moxie,Alls,051819
13,927,Bella NoWay,Alls,051819
0,121,Jigglewatts,Alls,061519
1,124,Ka- Blamazon,Alls,061519
2,18,Stitches,Alls,061519
3,220,Electra Cal,Alls,061519
4,23,Sintilly Lace,Alls,061519
5,329,Elita One,Alls,061519
6,42,Virginia Slam,Alls,061519
7,43,Rosie the Riveter,Alls,061519
8,53,Punch Bug,Alls,061519
9,57,Hines,Alls,061519
10,671,Ruff Edges,Alls,061519
11,7,AKA Rouge,Alls,061519
12,777,Smash,Alls,061519
13,911,Toxic Moxie,Alls,061519
14,927,Bella No Way,Alls,061519
0,121,Jigglewatts,Alls,061619
1,124,Ka-Blamazon,Alls,061619
2,18,Stitches,Alls,061619
3,220,Electra Cal,Alls,061619
4,23,Sintilly,Alls,061619
5,329,Elita One,Alls,061619
6,42,Virginia Slam,Alls,061619
7,43,Rosie the Riveter,Alls,061619
8,53,Punch Bug,Alls,061619
9,57,Hines,Alls,061619
10,671,Ruff Edges,Alls,061619
11,7,AKA Rogue,Alls,061619
12,777,SMASH,Alls,061619
13,911,Toxic Moxie,Alls,061619
14,927,Bella No Way,Alls,061619
0,121,Jigglewatts,Alls,071319
1,124,Ka-Blamazon,Alls,071319
2,18,Stitches,Alls,071319
3,220,Electra Cal,Alls,071319
4,23,SinTilly,Alls,071319
5,329,Elita One,Alls,071319
6,42,Virginia Slam,Alls,071319
7,43,Rosie the Riveter,Alls,071319
8,53,Punch Bug,Alls,071319
9,57,Hines,Alls,071319
10,671,Ruff Edges,Alls,071319
11,7,AKA Rogue,Alls,071319
12,777,SMASH,Alls,071319
13,911,Toxic Moxie,Alls,071319
14,927,Bella No Way,Alls,071319
0,121,Jigglewatts,Alls,081719
1,124,Ka-Blamazon,Alls,081719
2,18,Stitches,Alls,081719
3,220,Electra Cal,Alls,081719
4,23,SinTilly,Alls,081719
5,329,Elita One,Alls,081719
6,42,Virginia Slam,Alls,081719
7,43,Rosie the Riveter,Alls,081719
8,53,Punch Bug,Alls,081719
9,64,A-Bomb,Alls,081719
10,671,Ruff Edges,Alls,081719
11,7,AKA Rogue,Alls,081719
12,777,SMASH,Alls,081719
13,911,Toxic Moxie,Alls,081719
14,927,Bella  No Way,Alls,081719
